version,num_workers,bucket_size,spawn_threshold,total_time,tree_time,forces_time,bodies_time
11,4,4,500,60.221782748,22.481202234,34.071321069,0.085742186
11,4,4,500,60.672760206,22.749087961,34.220957986,0.086061595
11,4,4,500,60.637452269,22.726206199,34.214287177,0.096250085
11,8,4,500,43.849062610,22.988664341,17.068255970,0.101523213
11,8,4,500,43.583991623,22.996719362,17.116482086,0.100828164
11,8,4,500,43.852026485,23.305069284,17.082634781,0.100588887
11,8,4,500,43.383598472,22.511709540,16.975058649,0.100037362
11,8,4,500,43.828311069,23.206296894,17.074693838,0.101427850
11,8,4,500,43.486388653,22.952698598,17.077280894,0.100357830
11,16,4,500,34.816901050,22.151476146,8.624366894,0.118883172
11,16,4,500,34.982000365,22.334872816,8.636182858,0.115109698
11,16,4,500,34.702347208,21.999647469,8.640239759,0.118241452
11,16,4,500,34.700871307,22.015108188,8.640506756,0.118424213
11,16,4,500,34.986389672,22.265045933,8.626358086,0.118986141
11,16,4,500,34.839955944,22.143169905,8.647066070,0.119038643
11,32,4,500,37.265432932,26.139078370,4.458651763,0.214168949
11,32,4,500,38.319322349,26.985567032,4.482064123,0.229632031
11,32,4,500,37.418195370,26.782966722,4.471390390,0.225565155
11,32,4,500,37.581005030,26.982536898,4.471977918,0.213092897
11,32,4,500,38.057028398,26.825523912,4.463613766,0.217762149
11,32,4,500,37.652771327,26.518660879,4.435484210,0.220068130
11,48,4,500,38.314895403,28.477771992,3.032489376,0.245989375
11,48,4,500,38.970815921,28.507355637,3.032969483,0.240117557
11,48,4,500,38.298283560,28.440270122,3.014217984,0.244755909
11,48,4,500,37.388103026,27.393988797,3.016887154,0.242276354
11,48,4,500,38.950417902,28.416662225,3.029217679,0.244578103
11,48,4,500,38.844365033,28.387945663,3.022808676,0.242515979
11,64,4,500,38.686371980,28.861942620,2.357391519,0.255394550
11,64,4,500,38.937223591,29.049591835,2.365067331,0.258698553
11,64,4,500,39.175833774,29.252710732,2.366729992,0.251503202
11,64,4,500,38.374478672,28.583608761,2.352845370,0.273912984
11,64,4,500,38.985812027,29.125621716,2.363348548,0.257236888
11,64,4,500,37.943046608,28.366167463,2.389877444,0.263799407
11,80,4,500,38.141315724,28.762808781,2.019242665,0.287899648
11,80,4,500,38.319274977,28.861075463,2.025878168,0.280918044
11,80,4,500,38.136375811,28.749395073,2.030453492,0.283540086
11,80,4,500,38.251155652,28.868386305,2.029417748,0.277200512
11,80,4,500,38.101495439,28.720546648,2.021172724,0.276500538
11,80,4,500,38.093741719,29.276788525,2.031066830,0.281961389
11,96,4,500,38.463857152,29.149628102,1.810095993,0.292632079
11,96,4,500,38.391309031,29.151106698,1.800977740,0.297727927
11,96,4,500,38.772301282,29.516348999,1.814596054,0.288495451
11,96,4,500,38.527806667,29.230144640,1.809105362,0.305329914
11,96,4,500,38.430706403,29.129329291,1.800488835,0.320102002
11,96,4,500,39.106108040,29.742514387,1.806319086,0.301539456
11,112,4,500,39.009242164,29.751262629,1.651124581,0.322232128
11,112,4,500,38.445222583,29.809390980,1.652414953,0.302083593
11,112,4,500,38.732658793,30.093381773,1.653040311,0.314798858
11,112,4,500,38.608231551,30.020843614,1.651773180,0.304545680
11,112,4,500,38.996399356,29.718392488,1.649685977,0.320597568
11,112,4,500,39.259026034,30.587327598,1.650632296,0.318433870
11,128,4,500,39.770365450,30.463108446,1.511782457,0.361374354
11,128,4,500,38.581300075,30.120145713,1.518009972,0.311556667
11,128,4,500,38.892216625,30.204388832,1.518626117,0.335057541
11,128,4,500,39.547757445,30.924727072,1.531608043,0.315576526
11,128,4,500,39.346346214,30.709669274,1.531102758,0.327605066
11,128,4,500,38.469952520,30.005629754,1.517612035,0.326600634
12,1,4,500,161.417978537,21.747004926,135.935743773,0.083260239
12,1,4,500,161.326512158,21.924209749,135.545712470,0.083156483
12,1,4,500,160.250887938,21.547689585,134.928056727,0.083248478
12,1,4,500,160.673255997,21.749961242,135.148116017,0.083332529
12,1,4,500,159.233490850,21.246581584,134.253407812,0.083081181
12,1,4,500,159.622071924,21.371509311,134.551697696,0.083411412
12,2,4,500,94.055051776,21.953599003,68.191415092,0.084504978
12,2,4,500,93.480620993,21.979925249,67.620361069,0.084170947
12,2,4,500,93.533044365,21.802431339,67.899797145,0.083341152
12,2,4,500,93.587628201,21.773556102,67.985199076,0.083646582
12,2,4,500,94.114189178,21.871902550,68.415533498,0.084147916
12,2,4,500,95.433953104,22.255524878,68.998281538,0.091057852
12,4,4,500,60.925341754,22.349405876,34.616005742,0.087703842
12,4,4,500,60.356159716,22.200574000,34.363747547,0.083668771
12,4,4,500,60.486572832,22.441745075,34.262400818,0.083639411
12,4,4,500,60.243098788,22.213705922,34.258074597,0.083180340
12,4,4,500,60.369707890,22.177461443,34.381950808,0.083573051
12,4,4,500,59.931523385,21.969790579,34.204685014,0.083281635
12,8,4,500,42.839533693,21.687724416,17.029203525,0.099938981
12,8,4,500,42.998528171,21.862426307,17.007582808,0.099641722
12,8,4,500,42.576675784,21.621449364,16.913833410,0.099791387
12,8,4,500,42.812795162,21.722998153,17.018705729,0.100051055
12,8,4,500,43.015747428,21.908135994,17.015527035,0.100504639
12,8,4,500,42.731851780,21.707619992,16.994479624,0.098452966
12,16,4,500,34.883577298,22.007996563,8.551252493,0.118039665
12,16,4,500,34.925506473,22.025665083,8.573007566,0.117774445
12,16,4,500,34.902364649,22.102873974,8.558745866,0.117112926
12,16,4,500,34.752674729,21.987907643,8.554259205,0.117718673
12,16,4,500,34.812140009,22.011080948,8.569263852,0.115542748
12,16,4,500,34.777737729,21.973936083,8.570421828,0.116076486
12,32,4,500,38.976878621,27.178963460,4.978672657,0.199732959
12,32,4,500,37.704384718,26.765182530,4.526725635,0.180379637
