version,num_workers,depth,dim,time_secs
5,112,7,64,7.088353
5,112,7,64,7.041189
5,112,7,64,7.014929
5,112,7,64,7.046783
5,112,7,64,7.002293
5,112,7,64,6.9835896
5,128,7,64,6.820383
5,128,7,64,6.865255
5,128,7,64,6.9999313
5,128,7,64,6.9295077
5,128,7,64,7.124532
5,128,7,64,6.981119
6,1,7,64,206.54228
6,1,7,64,206.39977
6,1,7,64,206.38666
6,1,7,64,206.33185
6,1,7,64,206.369
6,1,7,64,206.37755
6,2,7,64,103.93408
6,2,7,64,103.72509
6,2,7,64,103.95391
6,2,7,64,103.82915
6,2,7,64,103.94669
6,2,7,64,103.96315
6,4,7,64,53.355965
6,4,7,64,53.2939
6,4,7,64,53.282204
6,4,7,64,53.141773
6,4,7,64,53.344025
6,4,7,64,53.3672
6,8,7,64,27.691483
6,8,7,64,28.088982
6,8,7,64,28.227175
6,8,7,64,27.750402
6,8,7,64,29.169031
6,8,7,64,28.69172
6,16,7,64,21.779194
6,16,7,64,18.393333
6,16,7,64,18.320688
6,16,7,64,18.310764
6,16,7,64,29.999182
6,16,7,64,21.29495
6,32,7,64,451.39243
6,32,7,64,438.25372
6,32,7,64,450.99515
6,32,7,64,450.48938
6,32,7,64,442.2539
6,32,7,64,448.97876
6,48,7,64,657.9659
6,48,7,64,641.15137
6,48,7,64,659.0003
6,48,7,64,648.8036
6,48,7,64,649.3466
6,48,7,64,650.97
6,64,7,64,841.1596
6,64,7,64,844.70856
6,64,7,64,842.77026
6,64,7,64,841.3251
6,64,7,64,856.0718
6,64,7,64,835.2056
6,80,7,64,997.14813
6,80,7,64,988.62146
6,80,7,64,981.38806
6,80,7,64,999.1384
6,80,7,64,985.88025
6,80,7,64,1008.57355
6,96,7,64,1137.0667
6,96,7,64,1124.4316
6,96,7,64,1118.2186
6,96,7,64,1152.9379
6,96,7,64,1128.156
6,96,7,64,1144.2584
6,112,7,64,1296.2083
6,112,7,64,1296.6527
6,112,7,64,1295.2639
6,112,7,64,1300.7651
6,112,7,64,1299.1382
6,112,7,64,1298.5685
6,128,7,64,1510.8673
6,128,7,64,1484.8737
6,128,7,64,1485.8547
6,128,7,64,1506.2014
6,128,7,64,1490.3015
6,128,7,64,1516.9392
10,1,7,64,125.955753081
10,1,7,64,125.386369481
10,1,7,64,125.278639993
10,1,7,64,125.215968489
10,1,7,64,125.383296550
10,1,7,64,125.287380563
