version,num_workers,threshold,array_length,random_seed,time_secs
-2,1,2097152,2000000000,42,144.32962
-2,1,2097152,2000000000,42,144.03572
-2,1,2097152,2000000000,42,144.07306
-2,1,2097152,2000000000,42,144.01825
-2,1,2097152,2000000000,42,144.15169
-2,1,2097152,2000000000,42,144.22897
7,1,2097152,2000000000,42,141.89096
7,1,2097152,2000000000,42,141.6734
7,1,2097152,2000000000,42,142.44621
7,1,2097152,2000000000,42,141.85513
7,1,2097152,2000000000,42,140.78963
7,1,2097152,2000000000,42,141.81631
8,1,2097152,2000000000,42,151.31342
8,1,2097152,2000000000,42,151.15904
8,1,2097152,2000000000,42,151.0505
8,1,2097152,2000000000,42,151.07957
8,1,2097152,2000000000,42,151.1358
8,1,2097152,2000000000,42,151.05844
10,1,2000000000,42,0,128.526163672
10,1,2000000000,42,0,128.435293861
10,1,2000000000,42,0,128.581620170
10,1,2000000000,42,0,128.547034760
10,1,2000000000,42,0,128.674970075
10,1,2000000000,42,0,128.506787699
11,1,2000000000,42,2097152,130.630636974
11,1,2000000000,42,2097152,130.482021642
11,1,2000000000,42,2097152,130.404036321
11,1,2000000000,42,2097152,130.423669903
11,1,2000000000,42,2097152,130.369595080
11,1,2000000000,42,2097152,130.366175186
11,2,2000000000,42,2097152,65.354860050
11,2,2000000000,42,2097152,65.451194658
11,2,2000000000,42,2097152,65.348635192
11,2,2000000000,42,2097152,65.467765487
11,2,2000000000,42,2097152,65.325076860
11,2,2000000000,42,2097152,65.417943756
11,4,2000000000,42,2097152,33.676576181
11,4,2000000000,42,2097152,33.522419221
11,4,2000000000,42,2097152,33.378149919
11,4,2000000000,42,2097152,33.623120656
11,4,2000000000,42,2097152,33.571504635
11,4,2000000000,42,2097152,33.615645151
11,8,2000000000,42,2097152,17.072009688
11,8,2000000000,42,2097152,17.129019301
11,8,2000000000,42,2097152,17.162143523
11,8,2000000000,42,2097152,17.145074086
11,8,2000000000,42,2097152,17.041759343
11,8,2000000000,42,2097152,17.189399157
